CWE,Description,Code
CWE-222,Truncation of Security-relevant information - TBD,"// Code example TBD
// This vulnerability requires a more detailed context to illustrate properly.
"
CWE-369,Divide By Zero,"#include <stdio.h>

int main() {
    int x;
    x = 1 / 0;
    return 0;
}

int main() {
    int x;
    int a[10];
    a[0] = 0;
    x = 1 / a[0];
    return 0;
}

int main() {
    int x;
    int y = 0;
    if (!y) {
        x = 4 / y;
    }
    return 0;
}

int main() {
    int x;
    int y = 0;
    x = 2 / y;
    return 0;
}
"
CWE-401,Missing release of memory after effective lifetime,"#include <unistd.h>
#include <stdlib.h>
#define BLOCK_SIZE 16

char* getBlock(int fd) {
    char* buf = (char*) malloc(BLOCK_SIZE);
    if (!buf) {
        return NULL;
    }
    if (read(fd, buf, BLOCK_SIZE) != BLOCK_SIZE) {
        return NULL;
    }
    return buf;
}

int main(){
    char *buff = getBlock(0);
    return 0;
}
"
CWE-401_fd,Exposure of file descriptor to unintended control sphere - TBD,"// Code example TBD
// This vulnerability would involve improper handling of file descriptors.
"
CWE-415,Double free,"#include <stdlib.h>
#define SIZE 16

int main(){
    char* ptr = (char*)malloc(SIZE);
    if (1) {
        free(ptr);
    }
    free(ptr);
    return 0;
}
"
CWE-416,Use After Free,"#include <stdio.h>
#include <unistd.h>
#include <stdlib.h>
#include <string.h>

#define BUFSIZER1 512
#define BUFSIZER2 ((BUFSIZER1 / 2) - 8)

int main(int argc, char **argv) {
    char *buf1R1;
    char *buf2R1;
    char *buf2R2;
    char *buf3R2;
    buf1R1 = (char *) malloc(BUFSIZER1);
    buf2R1 = (char *) malloc(BUFSIZER1);
    free(buf2R1);
    buf2R2 = (char *) malloc(BUFSIZER2);
    buf3R2 = (char *) malloc(BUFSIZER2);
    strncpy(buf2R1, argv[1], BUFSIZER1 - 1);
    free(buf1R1);
    free(buf2R2);
    free(buf3R2);
    return 0;
}

#include <stdlib.h>
#include <stdio.h>
#include <string.h>
#define SIZE 64

int main() {
    int abrt = 0;
    int err = 1;
    char* ptr = (char*) malloc(SIZE * sizeof(char));
    strcpy(ptr, ""This string is in the heap"");
    if (err) {
        abrt = 1;
        free(ptr);
        char* ptr2 = (char*) malloc(2 * sizeof(char));
    }
    if (abrt) {
        printf(""operation aborted before commit. Pointer value is ptr: %s"", ptr);
    }
    return 0;
}

#include <stdio.h>
#include <stdlib.h>
void dangerous_func (int* ptr, int a, int b) {
    int val = 0;
    if (!ptr) return;
    if (a) {
        *ptr += 2;
    } else {
        val = *ptr; /* uFP: Use of null pointer detected: ptr */
        free(ptr);
    }
    if (b) {
        val += 5;
    } else {
        val += *ptr; /* TP: use after free detected: ptr */
    }
    if (a) free(ptr);
    printf(""val = %i\n"", val);
}

int main() {
    /* Unsafe function call */
    dangerous_func(malloc(sizeof(int)), 0, 0);
    return 0;
}
"
CWE-457,Use of uninitialized variable,"// C code example
#include <stdio.h>

int main() {
    int x, y;
    x = y + 1; // y is uninitialized
    return 0;
}
"
CWE-476,Null pointer dereference,"#define NULL 0
#include <stdio.h>

int main() {
    int *p = NULL; 
    if (*p) {
        printf(""Variable p is NULL\n"");
    }
    return 0;
}
"
CWE-665,Improper initialization,"#include <stdio.h>
#include <string.h>

int main() {
    char str[20] = """";
    strcat(str, ""hello world"");
    printf(""%s"", str);
    return 0;
}
"
CWE-787,Out-of-bounds Write - TBD,"// Code example TBD
// Further details are needed to provide a proper example.
"
